,LocationName,PermitNumber,LocationGridRef,X,Y,ReceivingWaterCourse,AlertType,DateTime
0,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline start,2024-01-18T08:45:00
1,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-18T08:30:00
2,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-18T07:30:00
3,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-17T20:45:00
4,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-17T20:15:00
5,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-17T05:45:00
6,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-17T04:30:00
7,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-17T03:45:00
8,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-16T23:45:00
9,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-16T09:15:00
10,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-16T08:15:00
11,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-16T02:00:00
12,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-16T00:00:00
13,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-15T23:00:00
14,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-15T21:45:00
15,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-15T20:45:00
16,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-15T20:15:00
17,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-05T06:00:00
18,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-05T04:30:00
19,Vauxhall Motors,TEMP.2984,TL09912073,509910,220730,Feeder to River Lee,Stop,2024-01-04T20:30:00
20,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-04T20:15:00
21,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-04T19:45:00
22,Vauxhall Motors,TEMP.2984,TL09912073,509910,220730,Feeder to River Lee,Start,2024-01-04T19:45:00
23,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-02T16:30:00
24,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-02T14:45:00
25,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2024-01-02T14:15:00
26,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2024-01-02T13:45:00
27,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2023-10-13T21:30:00
28,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2023-10-13T20:00:00
29,Vauxhall Motors,TEMP.2984,TL09912073,509910,220730,Feeder to River Lee,Stop,2023-10-13T19:00:00
30,Vauxhall Motors,TEMP.2984,TL09912073,509910,220730,Feeder to River Lee,Start,2023-10-13T17:45:00
31,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2023-09-21T00:45:00
32,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2023-09-21T00:15:00
33,Kimpton Road (Vauxhall Rd),CANM.0473,TL10912000,510910,220000,River Lee,Stop,2023-09-20T21:15:00
34,"New Bedford Road, Luton",CANM.0550,TL08862169,508860,221690,River Lee,Stop,2023-09-20T21:15:00
35,Vauxhall Motors,TEMP.2984,TL09912073,509910,220730,Feeder to River Lee,Stop,2023-09-20T21:15:00
36,Kimpton Road (Vauxhall Rd),CANM.0473,TL10912000,510910,220000,River Lee,Start,2023-09-20T20:30:00
37,"Park Town South & West, Luton",CANM.0549,TL10012057,510010,220570,River Lee,Stop,2023-09-20T20:15:00
38,Vauxhall Motors,TEMP.2984,TL09912073,509910,220730,Feeder to River Lee,Start,2023-09-20T20:15:00
39,"Park Town South & West, Luton",CANM.0549,TL10012057,510010,220570,River Lee,Start,2023-09-20T19:45:00
40,"New Bedford Road, Luton",CANM.0550,TL08862169,508860,221690,River Lee,Start,2023-09-20T19:30:00
41,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2023-03-31T22:00:00
42,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2023-03-31T21:15:00
43,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2023-03-31T20:00:00
44,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2023-03-31T19:30:00
45,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline stop,2022-12-21T10:00:00
46,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline start,2022-12-21T08:30:00
47,Vauxhall Motors,TEMP.2984,TL09912073,509910,220730,Feeder to River Lee,Stop,2022-11-23T10:30:00
48,Vauxhall Motors,TEMP.2984,TL09912073,509910,220730,Feeder to River Lee,Start,2022-11-23T09:45:00
49,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Stop,2022-11-17T01:00:00
50,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Start,2022-11-17T00:30:00
51,"New Bedford Road, Luton",CANM.0550,TL08862169,508860,221690,River Lee,Offline stop,2022-11-15T00:00:00
52,"New Bedford Road, Luton",CANM.0550,TL08862169,508860,221690,River Lee,Offline start,2022-10-28T04:00:00
53,"New Bedford Road, Luton",CANM.0550,TL08862169,508860,221690,River Lee,Stop,2022-10-23T11:00:00
54,"New Bedford Road, Luton",CANM.0550,TL08862169,508860,221690,River Lee,Start,2022-10-23T10:15:00
55,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline stop,2022-08-16T23:30:00
56,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline start,2022-08-14T10:30:00
57,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline stop,2022-08-05T09:45:00
58,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline start,2022-07-30T07:45:00
59,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline stop,2022-07-24T09:30:00
60,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline start,2022-07-19T11:30:00
61,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline stop,2022-07-18T09:00:00
62,Luton,TEMP.2735,TL12021814,512020,218140,River Lee,Offline start,2022-07-11T11:00:00
63,"Park Town South & West, Luton",CANM.0549,TL10012057,510010,220570,River Lee,Offline stop,2022-04-27T13:45:00
64,Kimpton Road (Vauxhall Rd),CANM.0473,TL10912000,510910,220000,River Lee,Offline stop,2022-04-10T23:45:00
65,Kimpton Road (Vauxhall Rd),CANM.0473,TL10912000,510910,220000,River Lee,Offline start,2022-04-06T03:30:00
66,Kimpton Road (Vauxhall Rd),CANM.0473,TL10912000,510910,220000,River Lee,Offline stop,2022-04-04T23:45:00
67,Kimpton Road (Vauxhall Rd),CANM.0473,TL10912000,510910,220000,River Lee,Offline start,2022-04-01T00:00:00
68,"Park Town South & West, Luton",CANM.0549,TL10012057,510010,220570,River Lee,Offline start,2022-04-01T00:00:00
